network,autonomous_system_number,autonomous_system_organization
2001:218:4002::/47,2914,"NTT America, Inc."
2001:218:4004::/46,2914,"NTT America, Inc."
2001:218:4008::/45,2914,"NTT America, Inc."
2001:218:4010::/44,2914,"NTT America, Inc."
2001:218:4020::/43,2914,"NTT America, Inc."
2001:218:4040::/42,2914,"NTT America, Inc."
2001:218:4080::/41,2914,"NTT America, Inc."
2001:218:4100::/40,2914,"NTT America, Inc."
2001:218:4200::/39,2914,"NTT America, Inc."
2001:218:4400::/38,2914,"NTT America, Inc."
2001:218:4800::/37,2914,"NTT America, Inc."
2001:218:5000::/36,2914,"NTT America, Inc."
2001:218:6000::/45,2914,"NTT America, Inc."
2001:218:6008::/47,2914,"NTT America, Inc."
2001:218:600a::/48,26667,"The Rubicon Project, Inc."
2001:218:600b::/48,2914,"NTT America, Inc."
2001:218:600c::/46,2914,"NTT America, Inc."
2001:218:6010::/44,2914,"NTT America, Inc."
2001:218:6020::/43,2914,"NTT America, Inc."
2001:218:6040::/42,2914,"NTT America, Inc."
2001:218:6080::/41,2914,"NTT America, Inc."
2001:218:6100::/40,2914,"NTT America, Inc."
2001:218:6200::/39,2914,"NTT America, Inc."
2001:218:6400::/38,2914,"NTT America, Inc."
2001:218:6800::/37,2914,"NTT America, Inc."
2001:218:7000::/36,2914,"NTT America, Inc."
2001:218:8000::/33,2914,"NTT America, Inc."
2001:220::/35,17832,"Korea Internet Security Agency"
2001:240::/40,2497,"Internet Initiative Japan Inc."
2001:240:100::/44,2497,"Internet Initiative Japan Inc."
2001:240:110::/46,2497,"Internet Initiative Japan Inc."
2001:240:114::/47,2497,"Internet Initiative Japan Inc."
2001:240:116::/47,7664,"Sanyo Computer Corp.Inc"
2001:240:118::/45,2497,"Internet Initiative Japan Inc."
2001:240:120::/43,2497,"Internet Initiative Japan Inc."
2001:240:140::/42,2497,"Internet Initiative Japan Inc."
2001:240:180::/41,2497,"Internet Initiative Japan Inc."
2001:240:200::/39,2497,"Internet Initiative Japan Inc."
2001:240:400::/38,2497,"Internet Initiative Japan Inc."
2001:240:800::/37,2497,"Internet Initiative Japan Inc."
2001:240:1000::/36,2497,"Internet Initiative Japan Inc."
2001:240:2000::/35,2497,"Internet Initiative Japan Inc."
2001:240:4000::/34,2497,"Internet Initiative Japan Inc."
2001:240:8000::/33,2497,"Internet Initiative Japan Inc."
2001:250::/31,23910,"China Next Generation Internet CERNET2"
2001:252::/32,23911,"China Next Generation Internet Beijing IX"
2001:254::/33,24489,"Trans-Eurasia Information Network (TEIN2) - North"
2001:254:8000::/33,24490,"Trans-Eurasia Information Network (TEIN2) - SG"
2001:256:100::/48,24367,"CERNET2 IX at Zhejiang University"
2001:258::/32,2510,"FUJITSU LIMITED"
2001:260::/32,2518,"BIGLOBE Inc."
2001:268::/32,2516,"KDDI CORPORATION"
2001:270::/36,3786,"LG DACOM Corporation"
2001:278::/32,4725,"SoftBank Mobile Corp."
2001:288::/32,1659,"Taiwan Academic Network (TANet) Information Center"
2001:290::/34,9318,"SK Broadband Co Ltd"
2001:290:4000::/36,23575,"SK Broadband Co Ltd"
2001:290:5000::/36,9318,"SK Broadband Co Ltd"
2001:290:6000::/35,9318,"SK Broadband Co Ltd"
2001:290:8000::/33,9318,"SK Broadband Co Ltd"
2001:298::/32,9600,"So-net Corporation"
2001:2a8::/32,7670,"Energia Communications, Inc."
2001:2b8::/49,17832,"Korea Internet Security Agency"
2001:2b8:0:8000::/50,17832,"Korea Internet Security Agency"
2001:2b8:0:c000::/51,17832,"Korea Internet Security Agency"
2001:2b8:0:e000::/52,17832,"Korea Internet Security Agency"
2001:2b8:0:f000::/53,17832,"Korea Internet Security Agency"
2001:2b8:0:f800::/54,17832,"Korea Internet Security Agency"
2001:2b8:0:fc00::/55,17832,"Korea Internet Security Agency"
2001:2b8:0:fe00::/56,17832,"Korea Internet Security Agency"
2001:2b8:0:ff00::/57,17832,"Korea Internet Security Agency"
2001:2b8:0:ff80::/58,17832,"Korea Internet Security Agency"
2001:2b8:0:ffc0::/59,17832,"Korea Internet Security Agency"
2001:2b8:0:ffe0::/60,17832,"Korea Internet Security Agency"
2001:2b8:0:fff0::/61,17832,"Korea Internet Security Agency"
2001:2b8:0:fff8::/62,17832,"Korea Internet Security Agency"
2001:2b8:0:fffc::/63,17832,"Korea Internet Security Agency"
2001:2b8:0:fffe::/64,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff::/80,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::/122,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::40/123,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::60/125,9700,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::68/125,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::70/124,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::80/121,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::100/120,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::200/119,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::400/118,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::800/117,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::1000/116,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::2000/115,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::4000/114,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1::8000/113,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:1:0/112,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:2:0/111,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:4:0/110,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:8:0/109,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:10:0/108,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:20:0/107,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:40:0/106,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:80:0/105,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:100:0/104,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:200:0/103,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:400:0/102,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:800:0/101,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:1000:0/100,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:2000:0/99,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:4000:0/98,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:0:8000:0/97,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:1::/96,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:2::/95,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:4::/94,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:8::/93,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:10::/92,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:20::/91,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:40::/90,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:80::/89,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:100::/88,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:200::/87,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:400::/86,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:800::/85,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:1000::/84,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:2000::/83,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:4000::/82,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1:8000::/81,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:2::/79,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:4::/78,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:8::/77,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:10::/76,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:20::/75,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:40::/74,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:80::/73,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:100::/72,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:200::/71,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:400::/70,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:800::/69,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:1000::/68,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:2000::/67,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:4000::/66,17832,"Korea Internet Security Agency"
2001:2b8:0:ffff:8000::/65,17832,"Korea Internet Security Agency"
2001:2b8:1::/48,17832,"Korea Internet Security Agency"
2001:2b8:2::/47,17832,"Korea Internet Security Agency"
2001:2b8:4::/46,17832,"Korea Internet Security Agency"
2001:2b8:8::/45,17832,"Korea Internet Security Agency"
2001:2b8:10::/44,17832,"Korea Internet Security Agency"
2001:2b8:20::/43,17832,"Korea Internet Security Agency"
2001:2b8:40::/42,17832,"Korea Internet Security Agency"
2001:2b8:80::/44,17832,"Korea Internet Security Agency"
2001:2b8:90::/48,1237,KISTI
2001:2b8:91::/48,17832,"Korea Internet Security Agency"
2001:2b8:92::/47,17832,"Korea Internet Security Agency"
2001:2b8:94::/48,1237,KISTI
