network,autonomous_system_number,autonomous_system_organization
2001:dce:e020::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e040::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e080::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e100::/40,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e200::/39,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e400::/38,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e800::/37,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:f000::/36,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dd8::/48,24390,"University of the South Pacific"
2001:dd8:1::/48,38283,"CHINANET SiChuan Telecom Internet Data Center"
2001:dd8:2::/48,45220,"Internet Systems Consortium, Auckland"
2001:dd8:4:4::/64,135412,"Singapore Network Information Centre"
2001:dd8:5::/48,55439,"Internet Systems Consortium, (Beijing, China)"
2001:dd8:6::/48,18368,"APNIC DNS Anycast"
2001:dd8:7::/48,187,DNScast
2001:dd8:8::/46,4608,"Asia Pacific Network Information Centre"
2001:dd8:c::/48,4608,"Asia Pacific Network Information Centre"
2001:dd8:10::/47,56266,"Netnod anycast AS for APNIC"
2001:dd8:12::/48,18366,"ANYCAST AS"
2001:dd8:13::/48,23710,"Internet Systems Consortium, Inc."
2001:dd8:14::/48,23708,"Internet Systems Consortium"
2001:dd8:16::/48,23711,"Internet Systems Consortium, Inc."
2001:dd8:17::/48,1280,"Internet Systems Consortium, Inc."
2001:dd8:18::/47,1280,"Internet Systems Consortium, Inc."
2001:dd8:1a::/48,1280,"Internet Systems Consortium, Inc."
2001:dd8:1c::/48,1280,"Internet Systems Consortium, Inc."
2001:dd8:1e::/48,55440,"Internet Systems Consortium, Pnohm Penh"
2001:dd8:1f::/48,56088,"Pengelola Nama Domain Internet Indonesia"
2001:dd8:20::/48,17439,"Netmagic Datacenter Mumbai"
2001:dd8:21::/48,18101,"Reliance Communications Ltd.DAKC MUMBAI"
2001:dd8:22::/48,23712,"Internet Systems Consortium, Inc."
2001:dd8:25::/48,45494,"NREN ASN for Misc. Root Servers and Community"
2001:dda::/48,18149,"Japan Registry Service Co., Ltd."
2001:ddc::/48,133874,"MYNIC Berhad"
2001:ddd::/48,18369,"APNIC ANYCAST"
2001:de1::/42,7667,"KDDI R&D Laboratories, INC."
2001:de4::/48,131621,"Taiwan Network Information Center"
2001:de8:4::/64,132602,"Bangladesh Submarine Cable Company Limited (BSCCL)"
2001:de8:16::/48,55943,OPT
2001:de8:8000::/48,134376,"Samoa IXP"
2001:dea:4001::/48,7615,"Bhutan Internet Exchange"
2001:deb::/48,63528,"Bangkok Neutral Internet Exchange"
2001:dec::/48,132797,"Vanuatu Internet Exchange (VIX)"
2001:df0::/48,9431,"The University of Auckland"
2001:df0:4::/48,681,"The University of Waikato"
2001:df0:7::/48,8075,"Microsoft Corporation"
2001:df0:8::/48,18149,"Japan Registry Service Co., Ltd."
2001:df0:d::/48,24088,"Hanoi Telecom Joint Stock Company - HCMC Branch"
2001:df0:13::/48,38244,"Trung tam VNNIC"
2001:df0:18::/48,45344,"International Islamic University Of Malaysia"
2001:df0:1a::/48,38244,"Trung tam VNNIC"
2001:df0:1e::/50,38794,UIH
2001:df0:1e:4000::/64,45796,"UIH / BB Connect"
2001:df0:1e:4001::/64,38794,UIH
2001:df0:1e:4002::/63,38794,UIH
2001:df0:1e:4004::/62,38794,UIH
2001:df0:1e:4008::/61,38794,UIH
2001:df0:1e:4010::/60,38794,UIH
2001:df0:1e:4020::/59,38794,UIH
2001:df0:1e:4040::/58,38794,UIH
2001:df0:1e:4080::/57,38794,UIH
2001:df0:1e:4100::/56,38794,UIH
2001:df0:1e:4200::/55,38794,UIH
2001:df0:1e:4400::/54,38794,UIH
2001:df0:1e:4800::/53,38794,UIH
2001:df0:1e:5000::/52,38794,UIH
2001:df0:1e:6000::/51,38794,UIH
2001:df0:1e:8000::/49,38794,UIH
2001:df0:43::/48,38629,"NTT Communications Corporation"
2001:df0:44::/48,17990,"GLOBALNET COMMUNICATION LTD."
2001:df0:45::/48,37918,"Nippon Telegraph and Telephone Corporation"
2001:df0:46::/48,24287,"National Institute of Informatics"
2001:df0:4b::/48,45881,"CardGate.net Pty Ltd"
2001:df0:4c::/48,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:df0:62::/48,38040,"TOT Public Company Limited"
2001:df0:65::/48,38567,"PT. Rekayasa Industri"
2001:df0:66::/48,45894,"FPT Online JSC"
2001:df0:68::/48,45689,"Convivial Net"
2001:df0:69::/48,41625,"Express Teleservice Corp"
2001:df0:71::/48,45665,"EdIT Counsel"
2001:df0:75::/48,23767,A-STAR
2001:df0:86::/48,18055,"Department of Human Services"
2001:df0:92::/48,55479,"IIT Kanpur"
2001:df0:93::/48,45128,"Australian Nuclear Science and Technology Organisation"
2001:df0:95::/48,7667,"KDDI R&D Laboratories, INC."
2001:df0:96::/48,45770,"Bagian Administrasi Pembangunan Pemerintah Kota Surabaya"
2001:df0:99::/48,45304,"PetraNet, Surabaya, Indonesia"
2001:df0:9f::/48,51113,"Elekta Limited"
2001:df0:a1::/48,55532,"Squiz Pty Ltd"
2001:df0:a3::/48,45305,"Lintas Data Prima, PT"
2001:df0:a5::/48,55552,"NETWORK BOX CORPORATION LTD"
2001:df0:a6::/48,55536,"PACSWITCH IP NETWORK"
2001:df0:a7::/48,45705,"UNIVERSITAS GADJAH MADA"
2001:df0:a8::/48,46052,"Politeknik Elektronika Negeri Surabaya"
2001:df0:a9::/48,46047,"Politeknik Negeri Sriwijaya"
2001:df0:b5::/48,46049,"Universitas Diponegoro"
2001:df0:ba::/48,46019,"Universitas Brawijaya"
2001:df0:bc::/48,45731,"ARDH GLOBAL INDONESIA, PT"
2001:df0:bd::/48,45292,"Lembaga Ilmu Pengetahuan Indonesia - LIPI"
2001:df0:be::/48,7467,"Sententia Internet"
2001:df0:c2::/48,9749,"GPK Computers Pty Ltd, Internet Service Provider, Melbourne"
2001:df0:ce::/48,24101,"University of New England"
2001:df0:cf::/48,55390,"Tokyo University of Science"
2001:df0:d1::/48,55857,"Harvest Electronics NZ Limited"
2001:df0:d4::/48,55870,"Darwin City Council"
2001:df0:d7::/48,8075,"Microsoft Corporation"
2001:df0:dc::/48,38590,"GodZone Internet Services"
2001:df0:e2::/48,55675,"Intiland Development Tbk. PT"
2001:df0:e3::/48,9536,"Cloud Network Services (HK) Ltd"
2001:df0:e4::/48,56026,"GPO Box 656"
2001:df0:e9::/48,55680,"Kantor Sistem Informasi Universitas Atma Jaya Yogyakarta"
2001:df0:eb::/48,38635,"Keio University"
2001:df0:ee::/48,55951,"Blok 9 Kompleks Bangunan Kerajaan"
2001:df0:f2::/48,55674,"Universitas Negeri Yogyakarta"
2001:df0:f8::/48,9555,"Verizon Australia PTY Limited"
2001:df0:fe::/48,56098,"Level 5"
2001:df0:201::/48,1221,"Telstra Pty Ltd"
2001:df0:205::/48,55687,"Universitas Tanjungpura"
2001:df0:208::/48,56169,"SEDCO COMMUNICATIONS SDN BHD"
2001:df0:20b::/48,38549,"Viewbank Rise Networks"
2001:df0:212::/48,9502,"Hong Kong Headquarters"
2001:df0:213::/48,17477,"Macquarie Telecom"
2001:df0:214::/48,132696,"SGIX Services"
2001:df0:215::/48,56199,"THOMAX TECH SYD"
2001:df0:216::/48,56110,"Everdata Technologies Pvt Ltd"
2001:df0:218::/48,38830,"Levart Distribution Systems Pty Ltd"
2001:df0:21a::/48,23855,"Singapore Advanced Research and Education Network"
2001:df0:21e::/48,55396,"NRI SecureTechnologies, Ltd"
2001:df0:21f::/48,55694,"Universitas Ciputra"
2001:df0:220::/48,55684,"Universitas Sebelas Maret"
2001:df0:22b::/48,38574,"LCSD, HKSARG"
2001:df0:230::/48,56237,"Universitas Lampung"
2001:df0:232::/48,9355,"National Institute of Information and Communications Technology"
2001:df0:237::/48,131460,"9 UM Tower"
2001:df0:23b::/48,18188,"Ateneo de Manila University"
2001:df0:23e::/48,9752,"Flipkart Internet Pvt Ltd"
2001:df0:245::/48,132020,"NineWire Pty Ltd"
2001:df0:246::/48,9555,"Verizon Australia PTY Limited"
2001:df0:247::/48,58631,"Vista Entertainment Solutions Ltd."
2001:df0:248::/48,23883,Movaci
2001:df0:24f::/48,58436,"SECUREAX PTE LTD"
2001:df0:251::/48,18055,"Department of Human Services"
2001:df0:258::/47,33517,"Oracle Corporation"
2001:df0:25b::/48,33517,"Oracle Corporation"
2001:df0:25e::/48,131159,"Yamagata University"
2001:df0:264::/48,132043,"4th Floor New Administrative Building"
2001:df0:266::/48,55901,"Sony Computer Entertainment Inc"
2001:df0:26b::/48,58505,"Kohen Technology Group Pty Ltd"
2001:df0:26d::/48,58475,"Universitas Lambung Mangkurat"
2001:df0:26f::/48,58476,"DIREKTORAT JENDERAL PAJAK"
2001:df0:270::/48,9836,"Hindustan Petroleum Corporation Limited"
2001:df0:272::/48,132111,"Bigband Sdn Bhd"
2001:df0:273::/48,58477,"Argon Data Communication"
2001:df0:27b::/48,58487,"Rumahweb Indonesia CV."
2001:df0:293::/48,4725,"SoftBank Mobile Corp."
2001:df0:295::/48,58516,"Amsterdam Internet Exchange"
2001:df0:296::/48,58516,"Amsterdam Internet Exchange"
2001:df0:29f::/48,58445,"Dutch-Bangla Bank Limited, Your Trusted Partner"
2001:df0:2a7::/48,55697,"Universitas Sumatera Utara"
2001:df0:2b0::/48,58589,"Cloud Earth Pty Ltd"
2001:df0:2b1::/48,132257,"Area9 IT Solutions"
2001:df0:2b4::/48,2526,"Unified IT Platform Office. IT Services Division. HITACHI,Ltd."
2001:df0:2b7::/48,9555,"Verizon Australia PTY Limited"
2001:df0:2ba::/48,132277,"105 Tampines Road #03-06/07"
2001:df0:2bd::/48,55920,"Elcom Technology Pty Ltd"
2001:df0:2bf::/48,198723,"University of Reading"
2001:df0:2c1::/48,58624,"End 2 End Limited"
2001:df0:2c2::/48,55890,"Suntory Business Expert Limited"
2001:df0:2c5::/48,58629,"Global Fair Communications Ltd."
2001:df0:2c7::/48,132405,"Summit Internet (Australia)"
2001:df0:2c8::/48,132315,"Intillismart Pty Ltd"
2001:df0:2ca::/48,17944,"Japan Weather Association"
2001:df0:2cc::/48,55909,"Kochi National College of Technology"
2001:df0:2d0::/44,58637,"CERT Australia, Attorney-General's Department"
2001:df0:2e1::/48,58381,"Wow Internet Indonesia"
2001:df0:2e4::/48,18123,"INAOKI EDUCATIONAL INSTITUTION"
2001:df0:2e8::/48,45896,"Mobifone Global JSC"
2001:df0:2ea::/48,38605,"Rakon, Auckland"
2001:df0:2ed::/48,17932,"Japan Advanced Institute of Science and Technology"
2001:df0:2ee::/48,55384,"Japan Advanced Institute of Science and Technology"
2001:df0:2f3::/48,132351,"National Payment Corporation Of India"
2001:df0:2f5::/48,55912,"University of Kochi"
2001:df0:2fb::/48,131460,"9 UM Tower"
2001:df0:2fc::/48,58404,"PT Qwords Company International"
2001:df0:2fd::/48,17436,"ICICIBANK Ltd, Banking, Mumbai"
2001:df0:301::/48,18402,"NATIONAL LIBRARY BOARD"
2001:df0:302::/48,132237,"GOVERNMENT TECHNOLOGY AGENCY"
2001:df0:309::/48,132293,"GOVERNMENT TECHNOLOGY AGENCY"
2001:df0:30a::/48,10024,"LGA International"
2001:df0:30e::/48,17547,"M1 NET LTD"
2001:df0:30f::/48,9255,"Singapore Telecom"
2001:df0:310::/48,17547,"M1 NET LTD"
2001:df0:311::/48,9255,"Singapore Telecom"
2001:df0:312::/47,135008,"GOVERNMENT TECHNOLOGY AGENCY"
2001:df0:314::/46,133387,"GOVERNMENT TECHNOLOGY AGENCY"
2001:df0:318::/47,136601,"GOVERNMENT TECHNOLOGY AGENCY"
2001:df0:400::/48,56172,"Agora Communications Pte Ltd"
2001:df0:401::/48,9357,"NRI SecureTechnologies, Ltd."
2001:df0:408::/48,132403,"Inde Technology Limited"
2001:df0:40d::/48,132419,"1000 Alfred Nobel Drive US"
2001:df0:40e::/48,58551,"PT. Mediatama Telematika Nusantara"
2001:df0:410::/48,132228,"Vanuatu Government"
2001:df0:411::/48,17439,"Netmagic Datacenter Mumbai"
2001:df0:413::/48,132423,Powai
2001:df0:41a::/48,9509,"The Department of Jobs and Small Business"
2001:df0:41f::/48,133014,"Universiti Teknologi Malaysia"
2001:df0:421::/48,38809,"Nextgen Networks"
2001:df0:425::/48,131475,"Singapore Institute of Technology"
2001:df0:426::/48,38331,"Institut Teknologi Sepuluh Nopember"
2001:df0:427::/48,24514,"Malaysian Research & Education Network"
2001:df0:430::/44,58742,"Affinity ID Limited"
2001:df0:440::/48,15211,"Square, Inc."
2001:df0:453::/48,132520,"MahaOnline Limited"
2001:df0:455::/48,45853,"Shresta Bhumi"
2001:df0:456::/48,55904,"KOGAKUIN University"
2001:df0:45d::/48,132556,"Blue Lotus Support Services Pvt Ltd"
2001:df0:465::/48,132597,"Hong Kong Serverworks Limited"
2001:df0:467::/48,2510,"FUJITSU LIMITED"
2001:df0:469::/48,9822,"Amnet IT Services Pty Ltd"
2001:df0:500::/40,132361,"Citrix Systems Asia Pacific Pty Ltd"
2001:df0:1400::/48,64010,"BasicBrix LLP"
2001:df0:1800::/48,23642,OBIS
2001:df0:1900::/48,135781,"Ashish And Ashwin Internet Service"
2001:df0:1a00::/48,132779,"RackBank Datacenters Private Ltd"
2001:df0:1f00::/48,136238,"SatLink Pvt Ltd"
2001:df0:2400::/48,7713,"PT Telekomunikasi Indonesia"
2001:df0:2a00::/48,63731,"TIEN PHAT TECHNOLOGY CORPORATION"
2001:df0:3000::/48,132615,"Pipol Broadband and Telecommunications Corporation"
2001:df0:3600::/48,135014,"Crosspoint Telecom PTE. LTD."
2001:df0:3a00::/48,17439,"Netmagic Datacenter Mumbai"
2001:df0:4100::/48,17819,"Equinix Asia Pacific"
2001:df0:4400::/48,17670,"PT. MNC Kabel Mediacom"
2001:df0:4b00::/48,9723,"iseek Communications Pty Ltd"
2001:df0:5d00::/48,136390,"Shenzhen Onething Technology Co., Ltd."
2001:df0:5e00::/48,135046,"One IT Services Pty Ltd"
2001:df0:5f00::/48,136079,"STMIK Amikom Yogyakarta"
2001:df0:6000::/48,132749,"Indraprastha Institute of Information Technology, Delhi"
2001:df0:6400::/48,131236,"Genworx Pte Ltd"
2001:df0:6800::/48,23620,"DooGA Co., Ltd."
2001:df0:7600::/48,133281,"Kavach Networks Pvt Ltd"
2001:df0:7a00::/48,135065,"National Directorate of Information and Technology"
2001:df0:7b00::/48,136086,"PT PRADIPA SAPTA MEDIA"
2001:df0:8500::/48,59128,"Kyoto University Microcomputer Club"
2001:df0:8800::/48,23901,"HARMAN CONNECTED SERVICES CORPORATION INDIA PRIVATE LIMITED"
2001:df0:a300::/48,17990,"GLOBALNET COMMUNICATION LTD."
2001:df0:ab00::/48,4739,"Internode Pty Ltd"
2001:df0:ac05::/48,133729,"Equinox Limited"
2001:df0:b500::/48,61327,"MTX Connect Ltd."
2001:df0:ba00::/48,132753,"Inventum Technologies Private Limited"
2001:df0:bc00::/48,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:df0:c100::/48,132808,"IP Telco"
2001:df0:c200::/48,131182,"CMS INFORMATION TECHNOLOGY PTY LIMITED"
2001:df0:c300::/48,136099,"Pusat Jantung Nasional Harapan Kita"
2001:df0:c800::/48,133173,"DGIT Systems"
2001:df0:ca00::/48,137442,"Cairns Airport Pty Ltd"
2001:df0:d300::/47,134801,"Synerzip Softech India Pvt Ltd"
2001:df0:d500::/48,136479,"Cyber Telecom ISP"
2001:df0:e400::/48,133661,"Netplus Broadband Services Private Limited"
2001:df0:ea00::/48,135469,"Dinas Komunikasi, Informatika dan Statistik Provinsi Gorontalo"
2001:df0:ec00:40::/58,133640,"INDIAN OVERSEAS BANK"
2001:df0:ed00::/48,38496,"PT Cyber Network Indonesia"
2001:df0:ef00::/48,38496,"PT Cyber Network Indonesia"
2001:df0:f400::/47,133657,"Indusind bank ltd"
2001:df0:fc00::/48,18229,"CtrlS Datacenters Ltd."
2001:df1:800::/48,59253,"Leaseweb Asia Pacific pte. ltd."
2001:df1:801::/48,133752,"Leaseweb Asia Pacific pte. ltd."
2001:df1:1400::/48,133296,"Web Werks India Pvt. Ltd."
2001:df1:1d00::/48,17990,"GLOBALNET COMMUNICATION LTD."
2001:df1:2100::/48,59155,"PT. Pemuda Berkarya Manunggal"
2001:df1:2600::/48,59151,"Bidang Layanan Teknologi dan Informasi Dinas Perhubungan"
2001:df1:2900::/48,136301,"Jetway Networks Private Limited"
2001:df1:2a00::/48,134553,"i-Skill Dynamics Sdn Bhd"
2001:df1:3000::/48,9408,"G James Glass and Aluminium"
2001:df1:3700::/48,136324,"Idbi Bank Ltd"
2001:df1:3e00::/48,134868,"SHARKTEL INFOCOM PRIVATE LIMITED"
2001:df1:4300::/48,9746,"Online Interactive gaming solution"
2001:df1:4600::/48,4826,"Vocus Connect International Backbone"
2001:df1:5200::/48,55824,"NKN Core Network"
2001:df1:5a00::/48,135292,"Macquarie Media Limited"
2001:df1:6000::/48,131217,"8 Kallang Sector"
2001:df1:6400::/48,55925,"469 Nakronsawan.Rd, Chidrada Dusit"
2001:df1:6800::/48,45671,"Wholesale Services Provider"
2001:df1:6c00::/48,45629,"JasTel Network International Gateway"
2001:df1:7000::/48,132676,"Universitas Sriwijaya"
2001:df1:7900::/48,136621,"SBP Corporation Limited"
2001:df1:7e00::/48,135300,"Myanmar Broadband Telecom Co., Ltd"
2001:df1:7f00::/48,136726,NATIXIS
2001:df1:8000::/48,132440,"3 rd floor, Dreams mall, L.B.S. marg"
2001:df1:8900::/48,136733,"Racks Central Pte Ltd"
2001:df1:9000::/48,58820,"PT Apik Media Inovasi"
2001:df1:9c00::/48,133882,"PARAGON INTERNET GROUP LIMITED"
2001:df1:a100::/48,136758,"ShenZhen Century-One Limited"
2001:df1:a800::/48,133210,"EN Technologies Pte Ltd"
2001:df1:b200::/48,135343,"Cross Geminis Limited"
2001:df1:b900::/48,132563,MegaHostZone
2001:df1:ba00::/48,45259,"Bruhaas (B) Sdn Bhd"
2001:df1:be00::/48,24541,"45RU Pty Ltd. Internet Service Provider, Perth, Western Australia."
2001:df1:c500::/48,136311,"Gayatri Telecom Pvt Ltd"
2001:df1:c700::/47,136786,"Information Beam Company Limited"
2001:df1:cc00::/48,38880,"Micron21 Datacentre Pty Ltd"
2001:df1:cd00::/48,135425,Caznet
2001:df1:d200::/48,135372,"Eyeota Pte Ltd"
2001:df1:d400::/47,133904,"Swarovski Greater China Limited"
2001:df1:db00::/48,136124,"Komando Armada Indonesia Kawasan Timur TNI Angkatan Laut"
2001:df1:df00::/48,136805,"Next Generation Voice PTY LTD"
2001:df1:e000::/48,55666,"PT Media Sarana Data"
2001:df1:e300::/48,132402,"516 Clyde Ave US"
2001:df1:e500::/48,63773,"Birdie Mobile Inc."
2001:df1:f600::/48,27385,"QUALYS, Inc."
2001:df1:fe00::/48,59290,"PT Altro Abirama"
2001:df2:a00::/48,38760,"PT Media Sarana Akses"
2001:df2:d00::/48,134026,"Ultranet services private limited"
2001:df2:1000::/47,132335,"LeapSwitch Networks Pvt Ltd"
2001:df2:1100::/48,136129,"Kementerian Koordinator Bidang Kemaritiman RI"
2001:df2:1400::/48,133923,"Kantipur Publication Pvt. Ltd."
2001:df2:2800::/48,55353,"RAJESH PATEL NET SERVICES PVT. LTD."
2001:df2:2a00::/48,38157,"Tentara Nasional Indonesia Angkatan Udara (TNI-AU)"
2001:df2:2c00::/48,133929,"TWOWIN CO., LIMITED"
2001:df2:2e00::/48,135421,"SALKELD, MATTHEW T/A MATTHEW SALKELD CONSULTING"
2001:df2:3800::/48,56118,"Office of the Civil Service Commission"
2001:df2:3c00::/45,63950,"Jackie's Wholesale Nurseries Pty Ltd"
2001:df2:3e00::/48,133827,"UNIVERSITAS ISLAM INDONESIA"
2001:df2:4100::/48,132304,"CLOUDEST (HK) LIMITED"
2001:df2:4600::/48,132068,"DIGICORE LIMITED"
2001:df2:4900::/48,55467,"Icemedia Pty. Ltd."
2001:df2:5100::/48,133929,"TWOWIN CO., LIMITED"
2001:df2:5600::/48,135496,"UNIVERSITI KEBANGSAAN MALAYSIA"
2001:df2:6c00::/48,133653,"Cyber Infrastructure (P) Limited"
2001:df2:6f00::/48,136835,"PT. GLobal Intermedia Nusantara"
2001:df2:7700::/48,45240,"REA Group, A subsidiary of Netwide"
2001:df2:7900::/48,6939,"Hurricane Electric LLC"
2001:df2:7a00::/48,58891,"Department of Education, Region VII, Central Visayas"
2001:df2:7e00::/47,135526,"KM Holdings Pty Ltd"
2001:df2:8100::/48,137050,"strateq data centre sdn bhd"
2001:df2:8200::/47,135551,"Malaysian Communication and Multimedia Commission"
2001:df2:8d00::/48,136842,"PEMERINTAH PROVINSI PAPUA"
2001:df2:9400::/48,134061,"MILAN INDUSTRIES PTY. LTD."
2001:df2:9800::/48,133318,"Lohchab Network Private Limited"
2001:df2:9900::/48,134032,"INFONET COMM ENTERPRISES"
2001:df2:9b00::/48,56141,"Danang ICT Infrastructure Development Center"
2001:df2:a300::/48,6336,"Turn Inc."
2001:df2:a600::/48,45320,"Departemen Komunikasi dan Informasi Republik Indonesia"
2001:df2:ac00::/48,134073,"The Revenue Department"
2001:df2:af00::/48,137001,"OSOA Co.,LTD."
2001:df2:b600::/48,132645,"Politeknik Perkapalan Negeri Surabaya"
2001:df2:bb00::/48,134410,"Go Capital Ventures Limited"
2001:df2:bc00::/48,45734,"PT Media Televisi Indonesia"
2001:df2:bf00::/48,137015,"MOZ 2008 Corporation"
2001:df2:c000::/48,132644,"PT. Cyberindo Mega Persada"
2001:df2:c300::/48,131924,"Kansai Airports"
2001:df2:c600::/48,40676,"Psychz Networks"
2001:df2:c900::/48,38635,"Keio University"
2001:df2:ca00::/48,45899,"VNPT Corp"
2001:df2:ce00::/48,45899,"VNPT Corp"
2001:df2:d800::/48,131895,"Okinawa Institute of science and technology"
2001:df2:d900::/48,18403,"The Corporation for Financing & Promoting Technology"
2001:df2:dc00::/48,132172,"Fiscal Policy Office"
2001:df2:e100::/48,136852,"PT Diginet Media"
2001:df2:e200::/48,133661,"Netplus Broadband Services Private Limited"
2001:df2:e500::/48,14907,"Wikimedia Foundation Inc."
2001:df2:e600::/48,133661,"Netplus Broadband Services Private Limited"
2001:df2:e800::/48,131302,"294/3 Vidhya Nagari Marg"
2001:df2:e900::/48,133296,"Web Werks India Pvt. Ltd."
2001:df2:ee00::/48,131107,"ASN for APNICTRAINING LAB DC"
2001:df2:ee01::/48,45192,"ASN for APNICTRAINING LAB DC"
2001:df2:f000::/48,55319,"VietNam Prosperity Joint Stock Commercial Bank"
2001:df2:f300::/48,136699,"Mediatech Communication Pvt.ltd."
2001:df2:fc00::/48,59111,"Akita International University"
2001:df3::/48,132688,"University of Malaya"
2001:df3:101::/48,137058,"Aeronautical Radio of Thailand Ltd."
2001:df3:801::/48,22787,"Arris Group, Inc"
2001:df3:803::/48,22787,"Arris Group, Inc"
2001:df3:805::/48,22787,"Arris Group, Inc"
2001:df3:80c::/48,22787,"Arris Group, Inc"
2001:df3:d00::/48,137065,"Adello Group AG"
2001:df3:1500::/48,137060,"The Club Group"
2001:df3:1600::/48,9555,"Verizon Australia PTY Limited"
2001:df3:1b00::/48,134042,"MAHA Mediacom LLP"
2001:df3:1e00::/48,55824,"NKN Core Network"
2001:df3:2300::/48,136863,"Detasemen Khusus 88 - Kepolisian Negara Republik Indonesia"
2001:df3:2900::/48,24060,"KTB COMPUTER SERVICES COMPANY LIMITED"
2001:df3:2e00::/48,131297,DGCHost.Net
2001:df3:3200::/48,135724,"Allnet Broadband Network Pvt Ltd"
2001:df3:3800::/48,133345,"KEMENKO POLHUKAM RI"
2001:df3:3c00::/48,33480,"Web Werks"
2001:df3:4300::/48,133616,"Beachhead Group Pty. Ltd."
2001:df3:4400::/48,133969,"Arista Networks India Pvt Ltd"
2001:df3:5000::/48,132986,"Digital Dreams Consulting Pvt Ltd"
2001:df3:5700::/48,137198,"Phranakorn Rajabhat University"
2001:df3:5c00::/48,135905,"VIETNAM POSTS AND TELECOMMUNICATIONS GROUP"
2001:df3:5d00::/48,137204,"The Bend Motorsport Park"
2001:df3:6500::/48,55379,"Hosei University"
2001:df3:6b00::/48,137217,"BLUE STAR GROUP (NEW ZEALAND) LIMITED"
2001:df3:7100::/48,58820,"PT Apik Media Inovasi"
2001:df3:7600::/48,132060,"Equate Technologies Pty Ltd"
2001:df3:8000::/48,132634,"Direktorat E-Goverment Kementerian KOMINFO"
2001:df3:8800::/48,36351,"SoftLayer Technologies Inc."
2001:df3:8900::/48,137243,"INGENIERIE DES SYSTEMES DES INFORMATIONS"
2001:df3:9a00::/48,135769,"Isro Satellite Centre"
2001:df3:9c00::/48,55536,"PACSWITCH IP NETWORK"
2001:df3:a000::/48,132246,"ST. LUKE'S MEDICAL CENTER, INC."
2001:df3:a001::/48,133064,"SLMC INFRASTRUCTURE"
2001:df3:a002::/47,133064,"SLMC INFRASTRUCTURE"
2001:df3:a300::/48,137267,"CBROS Technologies Limited"
2001:df3:a700::/48,58785,"Tohoku Gakuin University"
2001:df3:ac00::/48,63972,"88/28 Moo 4 Tiwanont Road Nonta-Buri Province 11000"
2001:df3:ad00::/48,137275,"Broadband Solutions Pvt. Ltd"
2001:df3:b500::/48,135946,"Long An Department of Information and Communications"
2001:df3:ba00::/48,134808,"GLOBE VALLEY PTY LTD T/A ONSAVII"
2001:df3:bc00::/48,59113,"RICOH JAPAN Corporation"
2001:df3:cc00::/48,134053,"ETHERNET XPRESS PVT. LTD."
2001:df3:ce00::/48,132148,"HORIZON TELECOM INTERNATIONAL COMPANY LIMITED"
2001:df3:d000::/48,133044,"Sol1 Pty Ltd"
2001:df3:da00::/48,132134,"SpotXchange, Inc"
2001:df3:f800::/48,59216,"Juxt Consult Research and Consulting Pvt. Ltd."
2001:df3:f900::/48,137422,"Bupa Health Insurance (Thailand) Public Company Limited"
2001:df3:fc00::/48,134548,"DXTL Tseung Kwan O Service"
2001:df4:c00::/48,133985,"Tractor and farm equipmemts Ltd"
2001:df4:1500::/48,133448,Korea
2001:df4:1b00::/48,45489,"Sri Lanka Telecom PLC, GLobal Peering"
2001:df4:2600::/48,132398,"Science and Engineering Institutes"
2001:df4:2900::/48,56155,"Tuong Minh service private enterprise"
2001:df4:2a00::/48,36733,"Comcast Cable Communications, LLC"
2001:df4:3200::/48,132476,"Compass Education Pty Ltd"
2001:df4:3500::/48,17439,"Netmagic Datacenter Mumbai"
2001:df4:3900::/48,134249,"Margo Networks Pvt Ltd"
2001:df4:3a00::/48,7566,"Kutamo Pty. Ltd."
2001:df4:4700::/48,135827,"Phoenix Internet Pvt Ltd"
2001:df4:5100::/48,18229,"CtrlS Datacenters Ltd."
2001:df4:5300::/48,137469,"Signify Limited"
2001:df4:5c00::/48,135724,"Allnet Broadband Network Pvt Ltd"
2001:df4:5d00::/48,58820,"PT Apik Media Inovasi"
2001:df4:5f00::/47,134033,"HIREACH BROADBAND PRIVATE LTD"
2001:df4:6000:3000::/52,132874,"Universiti Malaysia Sabah"
2001:df4:6300::/48,137487,"Manila Electric Company"
2001:df4:6b00::/48,136493,"Earth Network Technology (HongKong) Co., Limited"
2001:df4:6c00::/48,133802,"Universitas Pasundan Bandung"
2001:df4:7000::/48,45561,"M800 Limited"
2001:df4:7100::/48,131784,"Sumber Daya Dan Perangkat Pos Dan Informatika SIMS"
2001:df4:7700::/47,137176,"The Clearing Corporation Of India Limited"
2001:df4:7702::/48,137176,"The Clearing Corporation Of India Limited"
